Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0
75	B1	P7A5	Control.AT	0.031689132	0.236053858	0.459174413	0.678566109	0.896779185	0.55	0.83
75	B2	P7A5	Control.AT	0.031772595	0.189453586	0.351110533	0.506870549	0.668182479	0.63	0.82
75	B3	P7A5	Control.AT	0.03116313	0.180228617	0.342945303	0.505535433	0.668785432	0.58	0.81
75	B4	P7A5	Control.AT	0.031101475	0.066975769	0.088839707	0.118217037	0.146222897	0.61	0.81
57	C3	P7A5	Control.AT	0.173644416	0.224919259	0.274081551	0.332638008	0.383850608	0.54	0.83
78	B1	P7A5	Control.ET	0.039734971	0.074887882	0.08693342	0.118621034	0.140087129	0.58	0.82
78	B2	P7A5	Control.ET	0.039933148	0.066036645	0.091420464	0.119753817	0.14703318	0.48	0.83
78	B3	P7A5	Control.ET	0.039771056	0.062708161	0.091438599	0.114484767	0.136445991	0.57	0.82
78	B4	P7A5	Control.ET	0.039483878	0.203082401	0.350725142	0.507848911	0.662394902	0.63	0.82
60	C3	P7A5	Control.ET	0.183354308	0.236418696	0.281319565	0.323505256	0.367284524	0.63	0.80
74	B1	P7A5	EC.AT	0.028623096	0.058254001	0.081055554	0.118449828	0.153947082	0.62	0.82
74	B2	P7A5	EC.AT	0.028986444	0.205925953	0.380158332	0.557353592	0.73331415	0.6	0.79
74	B3	P7A5	EC.AT	0.02796606	0.059490037	0.092642847	0.118118417	0.155995179	0.63	0.81
74	B4	P7A5	EC.AT	0.028278784	0.187444692	0.346943918	0.507088687	0.66729432	0.57	0.82
56	C3	P7A5	EC.AT	0.168678939	0.223314512	0.279658563	0.327903931	0.388513383	0.66	0.81
77	B1	P7A5	EC.ET	0.035608883	0.198751611	0.369979791	0.531589074	0.688440704	0.63	0.81
77	B2	P7A5	EC.ET	0.035174004	0.203658726	0.365791989	0.522359826	0.677858364	0.59	0.81
77	B3	P7A5	EC.ET	0.035426708	0.196594039	0.339103437	0.505487572	0.664084762	0.68	0.82
77	B4	P7A5	EC.ET	0.037232879	0.076932013	0.099142873	0.116527837	0.139984295	0.61	0.79
59	C3	P7A5	EC.ET	0.180057668	0.239445165	0.27611961	0.323771629	0.374297825	0.62	0.80
91	A1	P7B1	AC.AT	0.080766639	0.081385084	0.102918212	0.110964754	0.122746618	0.63	0.82
91	A2	P7B1	AC.AT	0.080340885	0.085743941	0.102110357	0.113657212	0.123961621	0.66	0.82
91	A3	P7B1	AC.AT	0.080124616	0.206893552	0.35864857	0.509637541	0.651220132	0.65	0.81
91	A4	P7B1	AC.AT	0.080331515	0.234276376	0.387855862	0.532890038	0.678141273	0.64	0.81
25	C3	P7B1	AC.AT	0.068488273	0.155577653	0.257167323	0.346628379	0.437304707	0.59	0.79
94	A1	P7B1	AC.ET	0.089591317	0.093529209	0.099099135	0.111844854	0.120579159	0.64	0.81
94	A2	P7B1	AC.ET	0.089468559	0.111222445	0.108650995	0.1071797	0.108179683	0.65	0.80
94	A3	P7B1	AC.ET	0.089424948	0.259619548	0.394676431	0.544387041	0.696651362	0.63	0.81
94	A4	P7B1	AC.ET	0.089385271	0.080803079	0.102598656	0.112553507	0.119480626	0.58	0.83
28	C3	P7B1	AC.ET	0.077373645	0.168545205	0.257789534	0.340414588	0.42560604	0.62	0.80
93	A1	P7B1	Control.AT	0.086856272	0.241991243	0.389375199	0.526907081	0.67002617	0.57	0.82
93	A2	P7B1	Control.AT	0.086906489	0.217241223	0.360338284	0.50701372	0.651825896	0.54	0.81
93	A3	P7B1	Control.AT	0.086756093	0.083376071	0.104286331	0.112067996	0.118707734	0.56	0.81
93	A4	P7B1	Control.AT	0.086728161	0.226972186	0.365149214	0.510362534	0.655559164	0.56	0.82
27	C3	P7B1	Control.AT	0.073673703	0.173412064	0.256479054	0.346839873	0.434626745	0.53	0.82
96	A1	P7B1	Control.ET	0.098980976	0.105687503	0.104537429	0.104882092	0.111932469	0.66	0.81
96	A2	P7B1	Control.ET	0.098833551	0.247971072	0.377832353	0.513503402	0.644148951	0.64	0.82
96	A3	P7B1	Control.ET	0.098520318	0.098466438	0.098252634	0.106450826	0.109987463	0.57	0.82
96	A4	P7B1	Control.ET	0.098293202	0.103190285	0.103678009	0.10432548	0.108386791	0.6	0.81
30	C3	P7B1	Control.ET	0.083854786	0.301881682	0.510119169	0.732891807	0.952987212	0.61	0.81
92	A1	P7B1	EC.AT	0.082807886	0.22909928	0.368991959	0.508684065	0.653289171	0.65	0.80
92	A2	P7B1	EC.AT	0.082656638	0.089260875	0.099425193	0.105162968	0.112723971	0.61	0.80
92	A3	P7B1	EC.AT	0.082672768	0.098644917	0.109034569	0.10434859	0.111925622	0.65	0.82
92	A4	P7B1	EC.AT	0.082784633	0.225721143	0.373157589	0.507617418	0.646382276	0.6	0.80
26	C3	P7B1	EC.AT	0.070565773	0.169424459	0.252395858	0.344709623	0.430535748	0.62	0.82
95	A1	P7B1	EC.ET	0.095320623	0.084787491	0.103443355	0.109062009	0.118406081	0.65	0.82
95	A2	P7B1	EC.ET	0.094837203	0.246257811	0.408748689	0.55609843	0.70763098	0.65	0.79
95	A3	P7B1	EC.ET	0.095025822	0.283205343	0.461928166	0.65084385	0.83799299	0.67	0.81
95	A4	P7B1	EC.ET	0.095174915	0.11128614	0.11075629	0.104604165	0.104559003	0.62	0.79
29	C3	P7B1	EC.ET	0.080287847	0.167134747	0.252593005	0.346665078	0.433880446	0.52	0.82
79	C1	P8A1	AC.AT	0.044227201	0.303279475	0.553332878	0.802190658	1.050605713	0.68	0.82
79	C2	P8A1	AC.AT	0.04344584	0.197686994	0.363347842	0.520381065	0.68444252	0.63	0.82
79	C3	P8A1	AC.AT	0.043475749	0.066493231	0.094193005	0.118477153	0.142939079	0.59	0.83
79	C4	P8A1	AC.AT	0.043854138	0.217325658	0.383883508	0.558549545	0.7254931	0.61	0.81
13	A3	P8A1	AC.AT	0.008641788	0.138423371	0.237020917	0.355879654	0.465355285	0.6	0.81
82	C1	P8A1	AC.ET	0.049442313	0.204542596	0.35721035	0.50528705	0.658620066	0.61	0.80
82	C2	P8A1	AC.ET	0.048925649	0.21692526	0.378239789	0.544351935	0.702615694	0.57	0.81
82	C3	P8A1	AC.ET	0.048816892	0.07068052	0.09758402	0.116870102	0.134171289	0.56	0.82
82	C4	P8A1	AC.ET	0.049418213	0.189144988	0.353080955	0.503936904	0.659734672	0.55	0.82
16	A3	P8A1	AC.ET	0.029390993	0.131245914	0.249898492	0.351645558	0.46091283	0.58	0.82
81	C1	P8A1	Control.AT	0.047331057	0.217997715	0.374900238	0.535454679	0.694393521	0.66	0.79
81	C2	P8A1	Control.AT	0.047275124	0.210873037	0.386552859	0.561048379	0.730242147	0.65	0.82
81	C3	P8A1	Control.AT	0.047037616	0.202765285	0.357136695	0.513976403	0.663148291	0.55	0.81
81	C4	P8A1	Control.AT	0.047076588	0.060331917	0.098598032	0.119368619	0.14064841	0.62	0.80
