Plate	Well	Genotype	Treatment	Week0	Week1	Week2	Week3	Week4	Qymax.Week4	Qymax.Week0	
54	B4	P16C3	Control.ET	0.158898459	0.218683588	0.279599371	0.326803943	0.380868416	0.59	0.82	
13	C3	P17A5	AC.AT	0.005811928	0.292125694	0.573334387	0.860742982	1.142273175	0.51	0.79	
14	C3	P17A5	EC.AT	0.012027165	0.122425668	0.234151411	0.354251567	0.469348957	0.56	0.80	
15	C3	P17A5	Control.AT	0.017321255	0.133600332	0.241216468	0.35250732	0.463484418	0.48	0.83	
16	C3	P17A5	AC.ET	0.025945166	0.141580349	0.240517694	0.351355793	0.461744298	0.59	0.79	
17	C3	P17A5	EC.ET	0.032357976	0.123245809	0.249495952	0.350683314	0.462691258	0.56	0.82	
18	C3	P17A5	Control.ET	0.034874717	0.154740044	0.242422728	0.350086225	0.4525791	0.54	0.82	
55	C1	P17B2	AC.AT	0.161642008	0.203755978	0.26634555	0.3314046	0.391639254	0.71	0.80	
56	C1	P17B2	EC.AT	0.166603937	0.369873781	0.553751102	0.731019752	0.920608143	0.65	0.80	
57	C1	P17B2	Control.AT	0.16952546	0.205277699	0.277334756	0.333245404	0.389003611	0.61	0.80	
58	C1	P17B2	AC.ET	0.174540322	0.351875562	0.529703459	0.71095945	0.887572796	0.65	0.81	
59	C1	P17B2	EC.ET	0.178283289	0.219562234	0.280937903	0.327320292	0.382047503	0.69	0.81	
60	C1	P17B2	Control.ET	0.180537692	0.236365159	0.279087457	0.323583679	0.374339843	0.59	0.81	
67	B1	P17B3	AC.AT	0.003433123	0.031418424	0.087131039	0.124056603	0.164812845	0.69	0.83	
68	B1	P17B3	EC.AT	0.007521501	0.05440831	0.092057797	0.123232005	0.154853989	0.56	0.80	
69	B1	P17B3	Control.AT	0.01142754	0.0633833	0.082384289	0.118517885	0.153089821	0.63	0.81	
70	B1	P17B3	AC.ET	0.013796559	0.048384965	0.08871902	0.122613082	0.156810846	0.62	0.80	
71	B1	P17B3	EC.ET	0.016988671	0.065746911	0.092358193	0.119543187	0.148880194	0.63	0.83	
72	B1	P17B3	Control.ET	0.019792296	0.201022433	0.355976481	0.521032091	0.68343923	0.55	0.79	
